"Nom";"Licences - Entité";"Éditeur";"Versions - Nom";"Versions - Système d'exploitation";"Licences - Nombre d'installations";"Licences - Nombre de licences";
"Microsoft VC++ redistributables repacked.";"Root entity";"Intel Corporation";"12.0.0.0";"Windows";"1";"0";
"Microsoft Virtual Machine Converter";"Root entity";"Microsoft Corporation";"3.1.0.0";"Windows";"2";"0";
"Microsoft Visio - en-us";"Root entity";"Microsoft Corporation";"16.0.13001.20384";"Windows";"1";"0";
"Microsoft Visio - fr-fr";"Root entity";"Microsoft Corporation";"16.0.13001.20384";"Windows";"1";"0";
"Microsoft Visual C++ 2005 Redistributable";"Root entity";"Microsoft Corporation";"8.0.61001
8.0.56336
8.0.59193";"Windows";"4";"0";
"Microsoft Visual C++ 2005 Redistributable (x64)";"Root entity";"Microsoft Corporation";"8.0.61000";"Windows";"1";"0";
"Microsoft Visual C++ 2008 Redistributable - x64 9.0.21022";"Root entity";"Microsoft Corporation";"9.0.21022";"Windows";"2";"0";
"Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729";"Root entity";"Microsoft Corporation";"9.0.30729";"Windows";"1";"0";
"Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.17";"Root entity";"Microsoft Corporation";"9.0.30729";"Windows";"1";"0";
"Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.4148";"Root entity";"Microsoft Corporation";"9.0.30729.4148";"Windows";"1";"0";
"Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.6161";"Root entity";"Microsoft Corporation";"9.0.30729.6161";"Windows";"2";"0";
"Microsoft Visual C++ 2008 Redistributable - x86 9.0.21022";"Root entity";"Microsoft Corporation";"9.0.21022";"Windows";"1";"0";
"Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729";"Root entity";"Microsoft Corporation";"9.0.30729";"Windows";"1";"0";
"Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.17";"Root entity";"Microsoft Corporation";"9.0.30729";"Windows";"2";"0";
"Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.4148";"Root entity";"Microsoft Corporation";"9.0.30729.4148";"Windows";"1";"0";
"Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.6161";"Root entity";"Microsoft Corporation";"9.0.30729.6161";"Windows";"1";"0";
"Microsoft Visual C++ 2010 x64 Redistributable - 10.0.40219";"Root entity";"Microsoft Corporation";"10.0.40219";"Windows";"2";"0";
"Microsoft Visual C++ 2010 x86 Redistributable - 10.0.40219";"Root entity";"Microsoft Corporation";"10.0.40219";"Windows";"2";"0";
"Microsoft Visual C++ 2012 Redistributable (x64) - 11.0.61030";"Root entity";"Microsoft Corporation";"11.0.61030.0";"Windows";"2";"0";
"Microsoft Visual C++ 2012 Redistributable (x86) - 11.0.61030";"Root entity";"Microsoft Corporation";"11.0.61030.0";"Windows";"2";"0";
"Microsoft Visual C++ 2012 x64 Additional Runtime - 11.0.61030";"Root entity";"Microsoft Corporation";"11.0.61030";"Windows";"2";"0";
"Microsoft Visual C++ 2012 x64 Minimum Runtime - 11.0.61030";"Root entity";"Microsoft Corporation";"11.0.61030";"Windows";"2";"0";
"Microsoft Visual C++ 2012 x86 Additional Runtime - 11.0.61030";"Root entity";"Microsoft Corporation";"11.0.61030";"Windows";"2";"0";
"Microsoft Visual C++ 2012 x86 Minimum Runtime - 11.0.61030";"Root entity";"Microsoft Corporation";"11.0.61030";"Windows";"2";"0";
"Microsoft Visual C++ 2013 Redistributable (x64) - 12.0.30501";"Root entity";"Microsoft Corporation";"12.0.30501.0";"Windows";"1";"0";
"Microsoft Visual C++ 2013 Redistributable (x64) - 12.0.40660";"Root entity";"Microsoft Corporation";"12.0.40660.0";"Windows";"2";"0";
"Microsoft Visual C++ 2013 Redistributable (x64) - 12.0.40664";"Root entity";"Microsoft Corporation";"12.0.40664.0";"Windows";"1";"0";
"Microsoft Visual C++ 2013 Redistributable (x86) - 12.0.21005";"Root entity";"Microsoft Corporation";"12.0.21005.1";"Windows";"1";"0";
"Microsoft Visual C++ 2013 Redistributable (x86) - 12.0.30501";"Root entity";"Microsoft Corporation";"12.0.30501.0";"Windows";"2";"0";
"Microsoft Visual C++ 2013 Redistributable (x86) - 12.0.40660";"Root entity";"Microsoft Corporation";"12.0.40660.0";"Windows";"2";"0";
"Microsoft Visual C++ 2013 x64 Additional Runtime - 12.0.40660";"Root entity";"Microsoft Corporation";"12.0.40660";"Windows";"1";"0";
"Microsoft Visual C++ 2013 x64 Additional Runtime - 12.0.40664";"Root entity";"Microsoft Corporation";"12.0.40664";"Windows";"1";"0";
"Microsoft Visual C++ 2013 x64 Minimum Runtime - 12.0.40660";"Root entity";"Microsoft Corporation";"12.0.40660";"Windows";"1";"0";
"Microsoft Visual C++ 2013 x64 Minimum Runtime - 12.0.40664";"Root entity";"Microsoft Corporation";"12.0.40664";"Windows";"1";"0";
"Microsoft Visual C++ 2013 x86 Additional Runtime - 12.0.40660";"Root entity";"Microsoft Corporation";"12.0.40660";"Windows";"2";"0";
"Microsoft Visual C++ 2013 x86 Minimum Runtime - 12.0.40660";"Root entity";"Microsoft Corporation";"12.0.40660";"Windows";"2";"0";
"Microsoft Visual C++ 2015 UWP Desktop Runtime Package";"Root entity";"Microsoft Platform Extensions";"14.0.29016.0";"Windows";"1";"0";
"Microsoft Visual C++ 2015 UWP Desktop Runtime Package";"Root entity";"Microsoft Corporation";"14.0.27810.0
14.0.29016.0";"Windows";"2";"0";
"Microsoft Visual C++ 2015 UWP Runtime Package";"Root entity";"Microsoft Platform Extensions";"14.0.27810.0";"Windows";"1";"0";
"Microsoft Visual C++ 2015 UWP Runtime Package";"Root entity";"Microsoft Corporation";"14.0.27810.0";"Windows";"1";"0";
"Microsoft Visual C++ 2015-2019 Redistributable (x64) - 14.20.27508";"Root entity";"Microsoft Corporation";"14.20.27508.1";"Windows";"2";"0";
"Microsoft Visual C++ 2015-2019 Redistributable (x86) - 14.20.27508";"Root entity";"Microsoft Corporation";"14.20.27508.1";"Windows";"2";"0";
"Microsoft Visual C++ 2019 X64 Additional Runtime - 14.20.27508";"Root entity";"Microsoft Corporation";"14.20.27508";"Windows";"2";"0";
"Microsoft Visual C++ 2019 X64 Minimum Runtime - 14.20.27508";"Root entity";"Microsoft Corporation";"14.20.27508";"Windows";"2";"0";
"Microsoft Visual C++ 2019 X86 Additional Runtime - 14.20.27508";"Root entity";"Microsoft Corporation";"14.20.27508";"Windows";"2";"0";
"Microsoft Visual C++ 2019 X86 Minimum Runtime - 14.20.27508";"Root entity";"Microsoft Corporation";"14.20.27508";"Windows";"2";"0";
"Microsoft Visual C++ Runtime Package";"Root entity";"Microsoft Corporation";"12.0.21005.1";"Windows";"1";"0";
"Microsoft Visual Studio 2010 Tools for Office Runtime (x64)";"Root entity";"Microsoft Corporation";"10.0.50903
10.0.50908";"Windows";"2";"0";
"Microsoft Visual Studio 2010 Tools for Office Runtime (x64) Language Pack - FRA";"Root entity";"Microsoft Corporation";"10.0.50903";"Windows";"1";"0";
"Microsoft Visual Studio Code";"Root entity";"Microsoft Corporation";"1.45.1
1.41.1
1.47.3";"Windows";"2";"0";
"Microsoft Windows 10 Professionnel";"Root entity";"";"10.0.19041
10.0.18363";"Windows";"2";"0";
"Microsoft Windows StartMenuExperienceHost";"Root entity";"Microsoft Corporation";"10.0.19041.388
10.0.18362.449";"Windows";"2";"0";
"Microsoft Word MUI (French) 2013";"Root entity";"Microsoft Corporation";"15.0.4569.1506";"Windows";"1";"0";
"Microsoft.UI.Xaml.2.0";"Root entity";"Microsoft Platform Extensions";"2.1810.18004.0";"Windows";"1";"0";
"Microsoft.UI.Xaml.2.0";"Root entity";"Microsoft Corporation";"2.1810.18004.0";"Windows";"1";"0";
"Microsoft.UI.Xaml.2.1";"Root entity";"Microsoft Platform Extensions";"2.11906.6001.0";"Windows";"1";"0";
"Microsoft.UI.Xaml.2.1";"Root entity";"Microsoft Corporation";"2.11906.6001.0";"Windows";"1";"0";
"Microsoft.UI.Xaml.2.2";"Root entity";"Microsoft Platform Extensions";"2.21909.17002.0";"Windows";"1";"0";
"Microsoft.UI.Xaml.2.2";"Root entity";"Microsoft Corporation";"2.21909.17002.0";"Windows";"1";"0";
"Microsoft.UI.Xaml.2.3";"Root entity";"Microsoft Platform Extensions";"2.32002.13001.0";"Windows";"1";"0";
"Microsoft.UI.Xaml.2.3";"Root entity";"Microsoft Corporation";"2.32002.13001.0";"Windows";"1";"0";
"Microsoft.UI.Xaml.2.4";"Root entity";"Microsoft Platform Extensions";"2.42005.18002.0";"Windows";"1";"0";
"Microsoft.UI.Xaml.2.4";"Root entity";"Microsoft Corporation";"2.42005.18002.0";"Windows";"1";"0";
"MID109 UPDATE";"Root entity";"TAKARA";"1.0";"Windows";"1";"0";
"Minimal ADB and Fastboot version 1.4.3";"Root entity";"Samuel Rodberg";"1.4.3";"Windows";"1";"0";
"Mise à jour automatique";"Root entity";"Index Education";"1.0.4";"Windows";"1";"0";
"Mixed Reality Portal";"Root entity";"Microsoft Platform Extensions";"2000.20041.1212.0";"Windows";"1";"0";
"Mixed Reality Portal";"Root entity";"Microsoft Corporation";"2000.20071.1133.0";"Windows";"1";"0";
"Mobile Plans";"Root entity";"Microsoft Platform Extensions";"5.2006.1691.0";"Windows";"1";"0";
"Mobile Plans";"Root entity";"Microsoft Corporation";"5.2006.1691.0";"Windows";"1";"0";
"Module d'expérience locale français (France)";"Root entity";"Microsoft Platform Extensions";"19041.3.8.0";"Windows";"1";"0";
"Module d'expérience locale français (France)";"Root entity";"Microsoft Corporation";"18362.26.83.0";"Windows";"1";"0";
"Module linguistique Microsoft Visual Studio 2010 Tools pour Office Runtime (x64) - FRA";"Root entity";"Microsoft Corporation";"10.0.50903";"Windows";"1";"0";
"Movies &amp; TV";"Root entity";"Microsoft Platform Extensions";"10.20032.16211.0";"Windows";"1";"0";
"Movies &amp; TV";"Root entity";"Microsoft Corporation";"10.20032.16211.0";"Windows";"1";"0";
"Mozilla Firefox 76.0.1 (x64 fr)";"Root entity";"Mozilla";"76.0.1";"Windows";"1";"0";
"Mozilla Firefox 77.0.1 (x64 fr)";"Root entity";"Mozilla";"77.0.1";"Windows";"1";"0";
"Mozilla Maintenance Service";"Root entity";"Mozilla";"75.0
68.0";"Windows";"2";"0";
"Mozilla Thunderbird 68.10.0 (x64 fr)";"Root entity";"Mozilla";"68.10.0";"Windows";"1";"0";
"Mozilla Thunderbird 68.8.1 (x86 fr)";"Root entity";"Mozilla";"68.8.1";"Windows";"1";"0";
"MSN Finance";"Root entity";"Microsoft Platform Extensions";"4.36.20714.0";"Windows";"1";"0";
"MSN Finance";"Root entity";"Microsoft Corporation";"4.36.20714.0";"Windows";"1";"0";
"MSN Météo";"Root entity";"Microsoft Platform Extensions";"4.36.20714.0";"Windows";"1";"0";
"MSN Météo";"Root entity";"Microsoft Corporation";"4.36.20714.0";"Windows";"1";"0";
"MSN Sport";"Root entity";"Microsoft Platform Extensions";"4.36.20714.0";"Windows";"1";"0";
"MSN Sport";"Root entity";"Microsoft Corporation";"4.36.20714.0";"Windows";"1";"0";
"Multi-Tool 8";"Root entity";"Team MT Developers";"8.0.67";"Windows";"1";"0";
"Narrateur";"Root entity";"Microsoft Platform Extensions";"10.0.19041.1";"Windows";"1";"0";
"Narrateur";"Root entity";"Microsoft Corporation";"10.0.18362.449";"Windows";"1";"0";
"NcsiUwpApp";"Root entity";"Microsoft Platform Extensions";"1000.19041.1.0";"Windows";"1";"0";
"NetScaler Gateway Plug-in";"Root entity";"Citrix Systems, Inc.";"10.5.59.11";"Windows";"1";"0";
"NEWT Professional 2.5.359";"Root entity";"Komodo Laboratories LLC";"2.5.359";"Windows";"1";"0";
"Nmap 7.80";"Root entity";"Nmap Project";"7.80";"Windows";"1";"0";
"NordVPN";"Root entity";"NordVPN";"6.30.10";"Windows";"1";"0";
"NordVPN network TAP";"Root entity";"NordVPN";"1.0.1";"Windows";"1";"0";
"NordVPN network TUN";"Root entity";"NordVPN";"1.0.0";"Windows";"1";"0";
"Notepad++ (32-bit x86)";"Root entity";"Notepad++ Team";"7.8.6
7.7.1";"Windows";"2";"0";
"Npcap 0.93";"Root entity";"Nmap Project";"0.93";"Windows";"0";"0";
"Npcap OEM";"Root entity";"Nmap Project";"0.9987";"Windows";"1";"0";
"OEM Application Profile";"Root entity";"Advanced Micro Devices, Inc.";"1.00.0000";"Windows";"1";"0";
"Office";"Root entity";"Microsoft Platform Extensions";"18.2005.1191.0
18.2006.1031.0";"Windows";"1";"0";
"Office";"Root entity";"Microsoft Corporation";"18.1903.1152.0";"Windows";"1";"0";
"Office 16 Click-to-Run Extensibility Component";"Root entity";"Microsoft Corporation";"16.0.13001.20144";"Windows";"1";"0";
"Office 16 Click-to-Run Licensing Component";"Root entity";"Microsoft Corporation";"16.0.13001.20384";"Windows";"1";"0";
"Office 16 Click-to-Run Localization Component";"Root entity";"Microsoft Corporation";"16.0.13001.20144";"Windows";"1";"0";
"OneNote for Windows 10";"Root entity";"Microsoft Platform Extensions";"16001.12827.20182.0
16001.12827.20538.0";"Windows";"1";"0";
"OneNote for Windows 10";"Root entity";"Microsoft Corporation";"16001.12827.20182.0";"Windows";"1";"0";
"OpenShot Video Editor version 2.4.4";"Root entity";"OpenShot Studios, LLC";"2.4.4";"Windows";"1";"0";
"OSFMount";"Root entity";"Passmark Software";"";"Windows";"1";"0";
"osrss";"Root entity";"Microsoft Corporation";"1.0.0";"Windows";"1";"0";
"Outil de téléchargement USB/DVD Windows 7";"Root entity";"Microsoft Corporation";"1.0.30";"Windows";"1";"0";
"Outils de vérification linguistique 2013 de Microsoft Office - Français";"Root entity";"Microsoft Corporation";"15.0.4569.1506";"Windows";"1";"0";
"Paint 3D";"Root entity";"Microsoft Platform Extensions";"6.2004.20027.0";"Windows";"1";"0";
"Paint 3D";"Root entity";"Microsoft Corporation";"6.2004.20027.0";"Windows";"1";"0";
"Paramètres";"Root entity";"Microsoft Corporation";"10.0.2.1000";"Windows";"2";"0";
"PC-NVR";"Root entity";"";"";"Windows";"2";"0";
"PDF24 Creator 9.1.1";"Root entity";"PDF24.org";"9.1.1";"Windows";"1";"0";
"Pinnacle Studio 23";"Root entity";"Corel Corporation";"23.1.0.231";"Windows";"1";"0";
"Pinnacle Studio for Dazzle";"Root entity";"Corel Corporation";"1.0.1.207";"Windows";"1";"0";
"Pinnacle Studio for Dazzle - Install Manager";"Root entity";"Corel Corporation";"1.1.207";"Windows";"1";"0";
"PinningConfirmationDialog";"Root entity";"Microsoft Corporation";"1000.19041.1.0
1000.18362.449.0";"Windows";"2";"0";
"Print 3D";"Root entity";"Microsoft Platform Extensions";"3.3.791.0";"Windows";"1";"0";
"Print 3D";"Root entity";"Microsoft Corporation";"3.3.791.0";"Windows";"1";"0";
"PrintDialog";"Root entity";"Microsoft Corporation";"6.2.1.0";"Windows";"2";"0";
"Programme de résolution de l’application";"Root entity";"Microsoft Corporation";"10.0.19041.1
10.0.18362.449";"Windows";"2";"0";
"PRTG Desktop";"Root entity";"Paessler AG";"20.4.0";"Windows";"1";"0";
"PRTG Network Monitor";"Root entity";"Paessler AG";"20";"Windows";"1";"0";
"PrtScr 1.7";"Root entity";"FireStarter";"";"Windows";"1";"0";
"PuTTY release 0.73 (64-bit)";"Root entity";"Simon Tatham";"0.73.0.0";"Windows";"2";"0";
"Python 2.7.16";"Root entity";"Python Software Foundation";"2.7.16150";"Windows";"1";"0";
"Qualcomm Atheros Client Installation Program";"Root entity";"Qualcomm Atheros";"10.0";"Windows";"1";"0";
"Realtek Card Reader";"Root entity";"Realtek Semiconductor Corp.";"10.0.17134.29096";"Windows";"1";"0";
"recALL version 19.05";"Root entity";"";"19.05";"Windows";"1";"0";
"ReNamer";"Root entity";"den4b Team";"7.1.0.0";"Windows";"1";"0";
"RFXmngr version 19.0.0.23";"Root entity";"RFXCOM";"19.0.0.23";"Windows";"1";"0";
"ScanSnap Home";"Root entity";"PFU Limited";"1.7.0.14";"Windows";"1";"0";
"ScanSnap Home";"Root entity";"PFU";"1.8.1.1";"Windows";"1";"0";
"ScanSnap Manager Evernote Edition";"Root entity";"PFU Limited";"V1.5L10";"Windows";"1";"0";
"SD Card Formatter";"Root entity";"SD Association";"5.0.1";"Windows";"2";"0";
"Se connecter";"Root entity";"Microsoft Corporation";"10.0.18362.449";"Windows";"1";"0";
"Sécurité Windows";"Root entity";"Microsoft Corporation";"10.0.19041.1
10.0.18362.449";"Windows";"2";"0";
"Security Update for Microsoft Access 2013 (KB4462210) 64-Bit Edition";"Root entity";"Microsoft";"";"Windows";"1";"0";
"Security Update for Microsoft Excel 2013 (KB4484410) 64-Bit Edition";"Root entity";"Microsoft";"";"Windows";"1";"0";
"Security Update for Microsoft Office 2013 (KB2910941) 64-Bit Edition";"Root entity";"Microsoft";"";"Windows";"1";"0";
"Security Update for Microsoft Office 2013 (KB3039798) 64-Bit Edition";"Root entity";"Microsoft";"";"Windows";"1";"0";
"Security Update for Microsoft Office 2013 (KB3162051) 64-Bit Edition";"Root entity";"Microsoft";"";"Windows";"1";"0";
"Security Update for Microsoft Office 2013 (KB3172522) 64-Bit Edition";"Root entity";"Microsoft";"";"Windows";"1";"0";
"Security Update for Microsoft Office 2013 (KB3213564) 64-Bit Edition";"Root entity";"Microsoft";"";"Windows";"1";"0";
"Security Update for Microsoft Office 2013 (KB4011580) 64-Bit Edition";"Root entity";"Microsoft";"";"Windows";"1";"0";
"Security Update for Microsoft Office 2013 (KB4022188) 64-Bit Edition";"Root entity";"Microsoft";"";"Windows";"1";"0";
"Security Update for Microsoft Office 2013 (KB4022189) 64-Bit Edition";"Root entity";"Microsoft";"";"Windows";"1";"0";
"Security Update for Microsoft Office 2013 (KB4484229) 64-Bit Edition";"Root entity";"Microsoft";"";"Windows";"1";"0";
"Security Update for Microsoft Office 2013 (KB4484260) 64-Bit Edition";"Root entity";"Microsoft";"";"Windows";"1";"0";
"Security Update for Microsoft Outlook 2013 (KB4484363) 64-Bit Edition";"Root entity";"Microsoft";"";"Windows";"1";"0";
"Security Update for Microsoft Project 2013 (KB4484450) 64-Bit Edition";"Root entity";"Microsoft";"";"Windows";"1";"0";
"Security Update for Microsoft Publisher 2013 (KB3162033) 64-Bit Edition";"Root entity";"Microsoft";"";"Windows";"1";"0";
"Security Update for Microsoft Word 2013 (KB4484446) 64-Bit Edition";"Root entity";"Microsoft";"";"Windows";"1";"0";
"Security Update for Skype for Business 2015 (KB3191937) 64-Bit Edition";"Root entity";"Microsoft";"";"Windows";"1";"0";
"Service Pack 1 for Microsoft Office 2013 (KB2850036) 64-Bit Edition";"Root entity";"Microsoft";"";"Windows";"1";"0";
"Shell Input Application";"Root entity";"Microsoft Corporation";"1000.18362.449.0";"Windows";"1";"0";
"SilentSetup";"Root entity";"Default Company Name";"1.0.0";"Windows";"1";"0";
"Skype";"Root entity";"Skype";"15.61.100.0
14.51.72.0";"Windows";"2";"0";
"Skype version 8.58";"Root entity";"Skype Technologies S.A.";"8.58";"Windows";"1";"0";
"Slitheris Network Discovery 1.1.290";"Root entity";"Komodo Laboratories LLC";"1.1.290";"Windows";"1";"0";
"Slitheris Network Discovery 1.1.292";"Root entity";"Komodo Laboratories LLC";"1.1.292";"Windows";"1";"0";
"SmartPSS 1.13.1";"Root entity";"";"1.13.1";"Windows";"2";"0";
"Snip &amp; Sketch";"Root entity";"Microsoft Platform Extensions";"10.1907.2471.0";"Windows";"1";"0";
"Snip &amp; Sketch";"Root entity";"Microsoft Corporation";"10.1907.2471.0";"Windows";"1";"0";
"SP 300 Series Software Uninstall";"Root entity";"Ricoh Company Limited";"1.17.0000";"Windows";"2";"0";
"Spotify Music";"Root entity";"Spotify AB";"1.137.690.0";"Windows";"1";"0";
"Spybot - Search &amp; Destroy";"Root entity";"Safer-Networking Ltd.";"2.7.64.0";"Windows";"2";"0";
"Store Experience Host";"Root entity";"Microsoft Platform Extensions";"12007.1001.2.0";"Windows";"1";"0";
"Store Experience Host";"Root entity";"Microsoft Corporation";"12007.1001.2.0";"Windows";"1";"0";
"StudioLine Photo Basic 4";"Root entity";"H&amp;M System Software";"4.2.46.7";"Windows";"1";"0";
"Sublime Text 3";"Root entity";"Sublime HQ Pty Ltd";"";"Windows";"1";"0";
"SumatraPDF";"Root entity";"Krzysztof Kowalczyk";"3.2";"Windows";"1";"0";
"Supprimer l'appareil en toute sécurité";"Root entity";"Microsoft Corporation";"10.0.19041.1
10.0.18362.449";"Windows";"2";"0";
"swMSM";"Root entity";"Adobe Systems, Inc";"12.0.0.1";"Windows";"1";"0";
"Synaptics Pointing Device Driver";"Root entity";"Synaptics Incorporated";"19.0.19.63
19.0.19.68";"Windows";"2";"0";
"Synaptics WBF Fingerprint Reader";"Root entity";"Synaptics";"4.5.351.0";"Windows";"1";"0";
"Synology Active Backup for Business Agent";"Root entity";"Synology";"2.1.1125";"Windows";"1";"0";
"Synology Assistant (remove only)";"Root entity";"Synology";"6.2-24922";"Windows";"2";"0";
"Synology Chat 1.1.1-57";"Root entity";"Synology";"1.1.1-57";"Windows";"1";"0";
"Synology Drive Client (remove only)";"Root entity";"Synology, Inc.";"6.0.2.11078
6.0.1.11061";"Windows";"2";"0";
"Synology Presto Automator (remove only)";"Root entity";"Synology, Inc.";"2.0.1.0335";"Windows";"1";"0";
"Synology Surveillance Station Client";"Root entity";"Synology";"1.2.8.0981
1.2.7.0775
1.2.9.1082";"Windows";"2";"0";
"TeamViewer";"Root entity";"TeamViewer";"15.0.8397";"Windows";"1";"0";
"TeraCopy version 3.26";"Root entity";"Code Sector";"3.26";"Windows";"1";"0";
"Toolkit Documentation";"Root entity";"Microsoft";"8.59.25584";"Windows";"1";"0";
"UDK Package";"Root entity";"Microsoft Corporation";"10.0.19041.1";"Windows";"1";"0";
"Update for Microsoft InfoPath 2013 (KB3114946) 64-Bit Edition";"Root entity";"Microsoft";"";"Windows";"1";"0";
"Update for Microsoft InfoPath 2013 (KB4022181) 64-Bit Edition";"Root entity";"Microsoft";"";"Windows";"1";"0";
"Update for Microsoft Office 2013 (KB2760344) 64-Bit Edition";"Root entity";"Microsoft";"";"Windows";"1";"0";
"Update for Microsoft Office 2013 (KB2760371) 64-Bit Edition";"Root entity";"Microsoft";"";"Windows";"1";"0";
"Update for Microsoft Office 2013 (KB2883095) 64-Bit Edition";"Root entity";"Microsoft";"";"Windows";"1";"0";
"Update for Microsoft Office 2013 (KB2889863) 64-Bit Edition";"Root entity";"Microsoft";"";"Windows";"1";"0";
"Update for Microsoft Office 2013 (KB2899522) 64-Bit Edition";"Root entity";"Microsoft";"";"Windows";"1";"0";
"Update for Microsoft Office 2013 (KB3023049) 64-Bit Edition";"Root entity";"Microsoft";"";"Windows";"1";"0";
"Update for Microsoft Office 2013 (KB3023052) 64-Bit Edition";"Root entity";"Microsoft";"";"Windows";"1";"0";
"Update for Microsoft Office 2013 (KB3039701) 64-Bit Edition";"Root entity";"Microsoft";"";"Windows";"1";"0";
"Update for Microsoft Office 2013 (KB3039720) 64-Bit Edition";"Root entity";"Microsoft";"";"Windows";"1";"0";
"Update for Microsoft Office 2013 (KB3039756) 64-Bit Edition";"Root entity";"Microsoft";"";"Windows";"1";"0";
"Update for Microsoft Office 2013 (KB3039766) 64-Bit Edition";"Root entity";"Microsoft";"";"Windows";"1";"0";
"Update for Microsoft Office 2013 (KB3039778) 64-Bit Edition";"Root entity";"Microsoft";"";"Windows";"1";"0";
"Update for Microsoft Office 2013 (KB3039795) 64-Bit Edition";"Root entity";"Microsoft";"";"Windows";"1";"0";
"Update for Microsoft Office 2013 (KB3054819) 64-Bit Edition";"Root entity";"Microsoft";"";"Windows";"1";"0";
"Update for Microsoft Office 2013 (KB3054856) 64-Bit Edition";"Root entity";"Microsoft";"";"Windows";"1";"0";
"Update for Microsoft Office 2013 (KB3085565) 64-Bit Edition";"Root entity";"Microsoft";"";"Windows";"1";"0";
"Update for Microsoft Office 2013 (KB3085587) 64-Bit Edition";"Root entity";"Microsoft";"";"Windows";"1";"0";
"Update for Microsoft Office 2013 (KB3101503) 64-Bit Edition";"Root entity";"Microsoft";"";"Windows";"1";"0";
"Update for Microsoft Office 2013 (KB3114488) 64-Bit Edition";"Root entity";"Microsoft";"";"Windows";"1";"0";
"Update for Microsoft Office 2013 (KB3114499) 64-Bit Edition";"Root entity";"Microsoft";"";"Windows";"1";"0";
"Update for Microsoft Office 2013 (KB3127916) 64-Bit Edition";"Root entity";"Microsoft";"";"Windows";"1";"0";
"Update for Microsoft Office 2013 (KB3172471) 64-Bit Edition";"Root entity";"Microsoft";"";"Windows";"1";"0";
"Update for Microsoft Office 2013 (KB3172473) 64-Bit Edition";"Root entity";"Microsoft";"";"Windows";"1";"0";
"Update for Microsoft Office 2013 (KB3172523) 64-Bit Edition";"Root entity";"Microsoft";"";"Windows";"1";"0";
"Update for Microsoft Office 2013 (KB3172533) 64-Bit Edition";"Root entity";"Microsoft";"";"Windows";"1";"0";
"Update for Microsoft Office 2013 (KB3172545) 64-Bit Edition";"Root entity";"Microsoft";"";"Windows";"1";"0";
"Update for Microsoft Office 2013 (KB3178640) 64-Bit Edition";"Root entity";"Microsoft";"";"Windows";"1";"0";
"Update for Microsoft Office 2013 (KB3191872) 64-Bit Edition";"Root entity";"Microsoft";"";"Windows";"1";"0";
"Update for Microsoft Office 2013 (KB3213536) 64-Bit Edition";"Root entity";"Microsoft";"";"Windows";"1";"0";
"Update for Microsoft Office 2013 (KB4011155) 64-Bit Edition";"Root entity";"Microsoft";"";"Windows";"1";"0";
"Update for Microsoft Office 2013 (KB4011677) 64-Bit Edition";"Root entity";"Microsoft";"";"Windows";"1";"0";
"Update for Microsoft Office 2013 (KB4018378) 64-Bit Edition";"Root entity";"Microsoft";"";"Windows";"1";"0";
"Update for Microsoft Office 2013 (KB4022212) 64-Bit Edition";"Root entity";"Microsoft";"";"Windows";"1";"0";
"Update for Microsoft Office 2013 (KB4092455) 64-Bit Edition";"Root entity";"Microsoft";"";"Windows";"1";"0";
"Update for Microsoft Office 2013 (KB4462200) 64-Bit Edition";"Root entity";"Microsoft";"";"Windows";"1";"0";
"Update for Microsoft Office 2013 (KB4475562) 64-Bit Edition";"Root entity";"Microsoft";"";"Windows";"1";"0";
"Update for Microsoft Office 2013 (KB4484356) 64-Bit Edition";"Root entity";"Microsoft";"";"Windows";"1";"0";
"Update for Microsoft Office 2013 (KB4484442) 64-Bit Edition";"Root entity";"Microsoft";"";"Windows";"1";"0";
"Update for Microsoft OneDrive for Business (KB4022226) 64-Bit Edition";"Root entity";"Microsoft";"";"Windows";"1";"0";
"Update for Microsoft OneNote 2013 (KB4011281) 64-Bit Edition";"Root entity";"Microsoft";"";"Windows";"1";"0";
"Update for Microsoft Outlook Social Connector 2013 (KB3054854) 64-Bit Edition";"Root entity";"Microsoft";"";"Windows";"1";"0";
"Update for Microsoft PowerPoint 2013 (KB4484349) 64-Bit Edition";"Root entity";"Microsoft";"";"Windows";"1";"0";
"Update for Microsoft Visio Viewer 2013 (KB2817301) 64-Bit Edition";"Root entity";"Microsoft";"";"Windows";"1";"0";
"Update for Microsoft Word 2013 (KB3162081) 64-Bit Edition";"Root entity";"Microsoft";"";"Windows";"1";"0";
"Update for Skype for Business 2015 (KB4484289) 64-Bit Edition";"Root entity";"Microsoft";"";"Windows";"1";"0";
"Update for Windows 10 for x64-based Systems (KB4023057)";"Root entity";"Microsoft Corporation";"2.63.0.0";"Windows";"2";"0";
"Update for Windows 10 for x64-based Systems (KB4480730)";"Root entity";"Microsoft Corporation";"2.53.0.0
2.51.0.0";"Windows";"2";"0";
"UpdateAssistant";"Root entity";"Microsoft Corporation";"1.24.0.0
1.20.0.0";"Windows";"2";"0";
